sales_employee_id,sales_employee_name,marital_status,education_level,years_experience
EMP0001,Trần Anh Phúc,Đã kết hôn,Đại học,9
EMP0002,Phạm Văn Mai,Đã kết hôn,Đại học,20
EMP0003,Vũ Thị Trang,Độc thân,Sau đại học,10
EMP0004,Đỗ Thanh Lan,Đã kết hôn,Cao đẳng,17
EMP0005,Trần Gia Uyên,Đã kết hôn,Đại học,2
EMP0006,Lê Anh Quân,Đã kết hôn,Sau đại học,8
EMP0007,Bùi Anh Sơn,Đã kết hôn,Trung cấp,4
EMP0008,Võ Thị Quân,Đã kết hôn,Sau đại học,14
EMP0009,Phan Minh Vy,Đã kết hôn,Cao đẳng,8
EMP0010,Phan Thị Phúc,Độc thân,Đại học,10
EMP0011,Dương Quốc Dũng,Đã kết hôn,Cao đẳng,17
EMP0012,Đỗ Ngọc Lan,Độc thân,Cao đẳng,17
EMP0013,Phạm Thanh Oanh,Độc thân,Trung cấp,3
EMP0014,Đỗ Anh Sơn,Đã kết hôn,Đại học,14
EMP0015,Võ Quốc Mai,Độc thân,Trung cấp,12
EMP0016,Phan Thanh Phúc,Đã kết hôn,Đại học,10
EMP0017,Võ Thanh Nam,Đã kết hôn,Cao đẳng,12
EMP0018,Đặng Văn Hùng,Độc thân,Đại học,9
EMP0019,Dương Ngọc An,Độc thân,Cao đẳng,5
EMP0020,Ngô Hữu Lan,Đã kết hôn,Đại học,14
EMP0021,Dương Thanh Lan,Đã kết hôn,Cao đẳng,9
EMP0022,Huỳnh Văn Cường,Đã kết hôn,Đại học,2
EMP0023,Bùi Thị Vy,Độc thân,Đại học,11
EMP0024,Vũ Quốc Dũng,Độc thân,Đại học,8
EMP0025,Đặng Minh Yến,Độc thân,Sau đại học,2
EMP0026,Huỳnh Đức Linh,Độc thân,Sau đại học,14
EMP0027,Phạm Anh Hà,Đã kết hôn,Cao đẳng,15
EMP0028,Trần Văn Lan,Đã kết hôn,Cao đẳng,19
EMP0029,Bùi Minh Trang,Độc thân,Sau đại học,12
